timestamp,utilization.gpu,memory.used,memory.total,temperature.gpu,power.draw,clocks.current.sm,clocks.current.memory,pstate,error
2026/08/25 00:33:24.035, 38, 12131, 16380, 49, 37.97, 1650, 8751, P2,
2026/08/25 00:33:25.099, 36, 12131, 16380, 49, 36.56, 1845, 8751, P2,
2026/08/25 00:33:26.147, 39, 12131, 16380, 50, 38.64, 1845, 8751, P2,
2026/08/25 00:33:27.233, 56, 12611, 16380, 49, 37.52, 1725, 8751, P2,
2026/08/25 00:33:28.355, 5, 12611, 16380, 49, 40.98, 2730, 8751, P2,
2026/08/25 00:33:29.453, 8, 12611, 16380, 48, 31.37, 1020, 5001, P3,
2026/08/25 00:33:30.559, 5, 12611, 16380, 49, 28.85, 2610, 8751, P2,
2026/08/25 00:33:31.638, 100, 12611, 16380, 52, 31.15, 2610, 8751, P2,
2026/08/25 00:33:32.744, 5, 12611, 16380, 49, 32.30, 2610, 8751, P2,
2026/08/25 00:33:33.869, 22, 12611, 16380, 50, 27.75, 840, 5001, P3,
2026/08/25 00:33:34.989, 5, 12611, 16380, 49, 33.39, 2610, 8751, P2,
2026/08/25 00:33:36.088, 54, 12611, 16380, 49, 33.39, 2610, 8751, P2,
2026/08/25 00:33:37.192, 5, 12611, 16380, 49, 31.97, 2610, 8751, P2,
2026/08/25 00:33:38.287, 73, 12611, 16380, 51, 28.14, 885, 5001, P3,
2026/08/25 00:33:39.410, 5, 12611, 16380, 49, 34.71, 2610, 8751, P2,
2026/08/25 00:33:40.520, 5, 12611, 16380, 49, 33.26, 2610, 8751, P2,
2026/08/25 00:33:41.647, 5, 12611, 16380, 49, 28.78, 2610, 8751, P2,
2026/08/25 00:33:42.760, 100, 12611, 16380, 55, 29.67, 2610, 8751, P2,
2026/08/25 00:33:43.868, 5, 12611, 16380, 50, 34.66, 2610, 8751, P2,
2026/08/25 00:33:44.997, 8, 12611, 16380, 48, 27.29, 900, 5001, P3,
2026/08/25 00:33:46.125, 6, 12611, 16380, 48, 23.20, 2010, 8751, P2,
2026/08/25 00:33:47.234, 100, 12611, 16380, 51, 26.92, 960, 5001, P3,
2026/08/25 00:33:48.313, 5, 12611, 16380, 49, 32.81, 2610, 8751, P2,
2026/08/25 00:33:49.424, 9, 12611, 16380, 48, 27.14, 870, 5001, P3,
2026/08/25 00:33:50.531, 5, 12611, 16380, 49, 28.89, 2610, 8751, P2,
2026/08/25 00:33:51.641, 100, 12611, 16380, 55, 33.96, 2610, 8751, P2,
2026/08/25 00:33:52.748, 5, 12611, 16380, 49, 33.01, 2610, 8751, P2,
2026/08/25 00:33:53.866, 61, 12611, 16380, 48, 28.04, 900, 5001, P3,
2026/08/25 00:33:54.950, 5, 12611, 16380, 49, 35.82, 2610, 8751, P2,
2026/08/25 00:33:56.061, 5, 12611, 16380, 49, 34.30, 2610, 8751, P2,
2026/08/25 00:33:57.153, 5, 12611, 16380, 49, 29.05, 2610, 8751, P2,
2026/08/25 00:33:58.212, 100, 12611, 16380, 51, 29.63, 915, 5001, P3,
2026/08/25 00:33:59.254, 6, 12611, 16380, 48, 29.86, 1905, 8751, P2,
2026/08/25 00:34:00.297, 6, 12611, 16380, 48, 23.50, 1905, 8751, P2,
2026/08/25 00:34:01.346, 5, 12611, 16380, 48, 32.86, 2610, 8751, P2,
2026/08/25 00:34:02.409, 6, 12611, 16380, 48, 29.28, 2610, 8751, P2,
2026/08/25 00:34:03.467, 5, 12611, 16380, 48, 33.75, 2610, 8751, P2,
2026/08/25 00:34:04.575, 9, 12611, 16380, 48, 28.50, 900, 5001, P3,
2026/08/25 00:34:05.703, 5, 12611, 16380, 48, 34.34, 2610, 8751, P2,
2026/08/25 00:34:06.825, 6, 12611, 16380, 48, 29.29, 2610, 8751, P2,
2026/08/25 00:34:07.884, 5, 12611, 16380, 48, 33.96, 2610, 8751, P2,
2026/08/25 00:34:08.978, 6, 12611, 16380, 49, 29.12, 2610, 8751, P2,
2026/08/25 00:34:10.090, 6, 12611, 16380, 48, 29.52, 2145, 8751, P2,
2026/08/25 00:34:11.194, 6, 12611, 16380, 50, 23.94, 2145, 8751, P2,
2026/08/25 00:34:12.297, 5, 12611, 16380, 49, 32.33, 2610, 8751, P2,
2026/08/25 00:34:13.415, 5, 12611, 16380, 48, 29.39, 2610, 8751, P2,
2026/08/25 00:34:14.517, 5, 12611, 16380, 48, 34.37, 2610, 8751, P2,
2026/08/25 00:34:15.615, 6, 12611, 16380, 48, 29.40, 2610, 8751, P2,
2026/08/25 00:34:16.727, 5, 12611, 16380, 48, 34.82, 2610, 8751, P2,
2026/08/25 00:34:17.792, 5, 12611, 16380, 49, 29.21, 2610, 8751, P2,
2026/08/25 00:34:18.899, 7, 12611, 16380, 49, 31.77, 2235, 8751, P2,
2026/08/25 00:34:20.007, 8, 12611, 16380, 48, 24.65, 2235, 8751, P2,
